Dividend Record Date,Dividend (र / Unit),NAV (र),Dividend Yield (%)
30-07-2026,0.165,22.088,0.75%
29-06-2026,0.162,21.765,0.74%
27-05-2026,0.159,21.615,0.74%
29-04-2026,0.161,21.578,0.75%
24-03-2026,0.16,20.328,0.79%
26-02-2026,0.167,22.163,0.75%
28-01-2026,0.166,21.766,0.76%
30-12-2025,0.167,22.29,0.75%
27-11-2025,0.13,22.588,0.58%
30-10-2025,0.13,22.741,0.57%
29-09-2025,0.129,21.855,0.59%
28-08-2025,0.127,21.763,0.58%
30-07-2025,0.129,22.076,0.58%
27-06-2025,0.127,22.082,0.58%
29-05-2025,0.125,21.602,0.58%
29-04-2025,0.12,21.124,0.57%
24-03-2025,0.299,21.002,1.42%
30-12-2024,0.337,22.233,1.52%
27-09-2024,0.342,23.175,1.48%
27-06-2024,0.308,20.834,1.48%
27-03-2024,0.289,19.559,1.48%
28-12-2023,0.237,19.171,1.24%
27-09-2023,0.226,17.955,1.26%
30-06-2023,0.215,17.427,1.23%
29-03-2023,0.198,15.774,1.26%
29-12-2022,0.209,16.592,1.26%
29-09-2022,0.168,16.171,1.04%
25-03-2022,0.16,16.12,0.99%
23-09-2021,0.17,16.82,1.01%
09-02-2018,0.2047,10.8951,1.88%
13-11-2017,0.2,10.9386,1.83%
22-08-2017,0.3,10.8908,2.75%
22-05-2017,0.35,10.9305,3.20%
