Dividend Record Date,Dividend (र / Unit),NAV (र),Dividend Yield (%)
24-07-2026,0.21,32.52,0.65%
23-06-2026,0.21,32.66,0.64%
20-05-2026,0.21,32.37,0.65%
23-04-2026,0.21,32.73,0.64%
23-03-2026,0.21,30.48,0.69%
18-02-2026,0.21,33.77,0.62%
22-01-2026,0.21,33.06,0.64%
23-12-2025,0.21,34.24,0.61%
21-11-2025,0.2,34.31,0.58%
23-10-2025,0.2,34.52,0.58%
23-09-2025,0.2,34.23,0.58%
21-08-2025,0.2,34.18,0.59%
22-07-2025,0.2,34.34,0.58%
23-06-2025,0.2,34.17,0.59%
23-05-2025,0.2,33.9,0.59%
24-04-2025,0.2,33.42,0.60%
21-03-2025,0.2,32.5,0.62%
24-02-2025,0.2,31.67,0.63%
28-01-2025,0.2,32.18,0.62%
20-12-2024,0.17,33.9,0.50%
26-11-2024,0.17,33.8,0.50%
28-10-2024,0.17,34.13,0.50%
23-09-2024,0.17,35.93,0.47%
26-08-2024,0.17,35.09,0.48%
26-07-2024,0.17,34.56,0.49%
25-06-2024,0.17,33.25,0.51%
28-05-2024,0.17,32.06,0.53%
25-04-2024,0.17,31.64,0.54%
22-03-2024,0.17,30.69,0.55%
27-02-2024,0.17,31.0,0.55%
25-01-2024,0.17,29.78,0.57%
27-12-2023,0.17,29.66,0.57%
28-11-2023,0.17,27.98,0.61%
25-10-2023,0.17,26.89,0.63%
26-09-2023,0.17,27.44,0.62%
28-08-2023,0.17,27.05,0.63%
24-07-2023,0.17,27.06,0.63%
26-06-2023,0.15,26.07,0.58%
22-05-2023,0.15,25.29,0.59%
24-04-2023,0.15,24.7,0.61%
27-03-2023,0.15,24.03,0.62%
21-02-2023,0.15,24.82,0.60%
23-01-2023,0.15,25.11,0.60%
26-12-2022,0.15,24.89,0.60%
21-11-2022,0.15,25.09,0.60%
25-10-2022,0.15,24.87,0.60%
26-09-2022,0.15,24.09,0.62%
24-08-2022,0.15,24.59,0.61%
25-07-2022,0.15,23.66,0.63%
27-06-2022,0.15,22.77,0.66%
24-05-2022,0.15,23.16,0.65%
25-04-2022,0.15,24.32,0.62%
28-03-2022,0.15,24.4,0.61%
22-02-2022,0.15,24.37,0.62%
24-01-2022,0.15,24.66,0.61%
28-12-2021,0.15,24.92,0.60%
22-11-2021,0.17,24.71,0.69%
25-10-2021,0.17,24.99,0.68%
27-09-2021,0.17,25.04,0.68%
23-08-2021,0.17,23.82,0.71%
26-07-2021,0.17,23.68,0.72%
23-06-2021,0.17,23.03,0.74%
25-05-2021,0.17,22.64,0.75%
26-04-2021,0.17,21.63,0.79%
23-03-2021,0.17,21.98,0.77%
22-02-2021,0.17,21.9,0.78%
25-01-2021,0.17,21.34,0.80%
28-12-2020,0.17,21.09,0.81%
25-11-2020,0.17,19.99,0.85%
27-10-2020,0.17,18.74,0.91%
23-09-2020,0.17,18.08,0.94%
24-08-2020,0.19,18.88,1.01%
27-07-2020,0.19,18.23,1.04%
29-06-2020,0.19,17.65,1.08%
26-05-2020,0.19,16.32,1.16%
27-04-2020,0.19,16.9,1.12%
23-03-2020,0.1682,14.9,1.13%
24-02-2020,0.1682,20.73,0.81%
28-01-2020,0.1682,20.89,0.81%
24-12-2019,0.1682,20.87,0.81%
25-11-2019,0.1682,20.83,0.81%
29-10-2019,0.1682,20.59,0.82%
23-09-2019,0.1682,20.62,0.82%
26-08-2019,0.1682,19.93,0.84%
22-03-2018,0.1,18.51,0.54%
20-02-2018,0.1,18.99,0.53%
22-01-2018,0.1,20.17,0.50%
21-12-2017,0.1,19.55,0.51%
21-11-2017,0.1,19.31,0.52%
23-10-2017,0.1,19.3,0.52%
21-09-2017,0.11,19.35,0.57%
22-08-2017,0.1,18.64,0.54%
10-07-2017,0.1,18.72,0.53%
20-06-2017,0.1,18.66,0.54%
30-05-2017,0.1,18.53,0.54%
27-04-2017,0.1,18.69,0.54%
29-03-2017,0.1,18.09,0.55%
15-02-2017,0.1,17.46,0.57%
18-01-2017,0.1,17.0,0.59%
19-12-2016,0.1,16.6,0.60%
23-11-2016,0.1,16.88,0.59%
27-10-2016,0.1,18.19,0.55%
26-09-2016,0.1,18.33,0.55%
16-08-2016,0.1,18.08,0.55%
18-07-2016,0.1,17.64,0.57%
20-06-2016,0.1,17.34,0.58%
18-05-2016,0.1,17.1,0.58%
26-04-2016,0.2,17.44,1.15%
29-02-2016,0.1,15.84,0.63%
18-01-2016,0.1,16.49,0.61%
21-12-2015,0.1,17.5,0.57%
26-11-2015,0.1,17.57,0.57%
29-10-2015,0.1,18.02,0.55%
