Dividend Record Date,Dividend (र / Unit),NAV (र),Dividend Yield (%)
17-08-2026,0.33,39.6366,0.83%
17-07-2026,0.33,39.0782,0.84%
16-06-2026,0.33,38.9903,0.85%
18-05-2026,0.35,38.63,0.91%
20-04-2026,0.35,39.7458,0.88%
17-03-2026,0.35,38.7648,0.90%
17-02-2026,0.35,41.8716,0.84%
16-01-2026,0.35,41.9049,0.84%
17-12-2025,0.35,42.4997,0.82%
17-11-2025,0.35,43.3047,0.81%
17-10-2025,0.35,43.2014,0.81%
17-09-2025,0.35,43.081,0.81%
14-08-2025,0.35,42.5009,0.82%
17-07-2025,0.35,43.601,0.80%
17-06-2025,0.35,43.1493,0.81%
16-05-2025,0.35,43.6697,0.80%
17-04-2025,0.35,42.4496,0.82%
17-03-2025,0.35,40.5176,0.86%
17-02-2025,0.35,41.1869,0.85%
17-01-2025,0.35,42.8274,0.82%
17-12-2024,0.35,45.0495,0.78%
14-11-2024,0.35,43.8695,0.80%
17-10-2024,0.35,46.13,0.76%
17-09-2024,0.35,47.0165,0.74%
16-08-2024,0.35,45.5455,0.77%
18-07-2024,0.35,45.7312,0.77%
14-06-2024,0.35,44.2672,0.79%
17-05-2024,0.35,42.8309,0.82%
16-04-2024,0.35,42.262,0.83%
15-03-2024,0.35,41.8127,0.84%
16-02-2024,0.35,42.3291,0.83%
17-01-2024,0.35,41.3391,0.85%
15-12-2023,0.35,41.0397,0.85%
17-11-2023,0.35,39.3161,0.89%
17-10-2023,0.35,39.4362,0.89%
15-09-2023,0.35,40.1107,0.87%
17-08-2023,0.35,39.0557,0.90%
17-07-2023,0.35,39.2021,0.89%
16-06-2023,0.35,38.2564,0.91%
17-05-2023,0.35,37.3497,0.94%
17-04-2023,0.35,36.766,0.95%
17-03-2023,0.35,36.1949,0.97%
17-02-2023,0.35,37.7598,0.93%
19-01-2023,0.35,38.6524,0.91%
16-12-2022,0.35,39.5727,0.88%
17-11-2022,0.35,39.7721,0.88%
17-10-2022,0.35,38.7685,0.90%
16-09-2022,0.35,39.6085,0.88%
17-08-2022,0.35,39.8331,0.88%
18-07-2022,0.341,37.4167,0.91%
17-06-2022,0.345,35.7591,0.96%
17-05-2022,0.344,37.4637,0.92%
18-04-2022,0.371,39.6212,0.94%
17-03-2022,0.344,40.1095,0.86%
17-02-2022,0.377,40.4199,0.93%
17-01-2022,0.387,43.0371,0.90%
17-12-2021,0.2311,41.16,0.56%
17-11-2021,0.2377,43.13,0.55%
14-10-2021,0.2344,43.86,0.53%
17-09-2021,0.2287,42.05,0.54%
17-08-2021,0.2186,40.3,0.54%
16-07-2021,0.2123,39.13,0.54%
17-06-2021,0.2219,38.39,0.58%
17-05-2021,0.2138,36.85,0.58%
16-04-2021,0.2132,36.3,0.59%
17-03-2021,0.2144,36.52,0.59%
17-02-2021,0.2154,37.63,0.57%
15-01-2021,0.209,35.92,0.58%
17-12-2020,0.2592,34.69,0.75%
17-07-2019,0.1328,29.61,0.45%
17-06-2019,0.0354,29.4,0.12%
17-05-2019,0.0885,29.44,0.30%
16-04-2019,0.062,30.69,0.20%
15-03-2019,0.0708,30.15,0.23%
17-01-2019,0.2632,29.72,0.89%
16-11-2018,0.2615,29.6,0.88%
17-10-2018,0.2595,29.45,0.88%
17-09-2018,0.28,31.5,0.89%
17-08-2018,0.2804,31.76,0.88%
17-07-2018,0.276,30.9,0.89%
15-06-2018,0.2797,31.56,0.89%
17-05-2018,0.2843,31.76,0.90%
17-04-2018,0.2838,32.51,0.87%
16-03-2018,0.3152,31.65,1.00%
16-02-2018,0.3251,32.46,1.00%
17-01-2018,0.3416,34.15,1.00%
15-12-2017,0.3297,33.03,1.00%
17-11-2017,0.334,33.33,1.00%
17-10-2017,0.3211,32.91,0.98%
15-09-2017,0.3199,32.48,0.98%
17-08-2017,0.3152,31.42,1.00%
17-07-2017,0.1848,31.55,0.59%
16-06-2017,0.1839,30.91,0.59%
17-05-2017,0.1807,30.52,0.59%
17-04-2017,0.1742,29.32,0.59%
17-03-2017,0.1677,28.62,0.59%
17-02-2017,0.1675,28.05,0.60%
24-01-2017,0.1635,27.53,0.59%
23-12-2016,0.1721,26.18,0.66%
24-11-2016,0.1723,26.66,0.65%
24-10-2016,0.07,28.49,0.25%
23-09-2016,0.1806,28.39,0.64%
24-06-2016,0.8,25.62,3.12%
24-12-2015,0.89,25.87,3.44%
29-12-2014,0.39,25.28,1.54%
