amc,num_schemes,avg_nav,max_nav,min_nav
ICICI Prudential Mutual Fund,2498,37.94,1481.11,9.15
Nippon India Mutual Fund,1865,97.62,6931.6,0.0
UTI Mutual Fund,1375,148.05,7660.45,0.0
Kotak Mahindra Mutual Fund,920,109.13,5719.38,0.0
HDFC Mutual Fund,568,131.16,6274.65,8.79
SBI Mutual Fund,491,280.25,6528.79,7.68
Aditya Birla Sun Life Mutual Fund,461,110.55,2234.1,9.06
Bandhan Mutual Fund,431,86.86,3418.29,0.0
Axis Mutual Fund,412,265.45,3488.45,8.97
Tata Mutual Fund,405,161.84,5183.47,0.0
DSP Mutual Fund,359,188.9,4049.48,7.95
Franklin Templeton Mutual Fund,321,386.6,15097.54,0.0
Edelweiss Mutual Fund,304,269.82,3659.88,9.11
HSBC Mutual Fund,282,180.49,4027.29,10.0
Sundaram Mutual Fund,278,300.28,3976.56,9.83
Mirae Asset Mutual Fund,272,214.26,2988.24,9.0
Baroda BNP Paribas Mutual Fund,255,233.51,4737.06,0.0
Invesco Mutual Fund,237,941.14,4226.14,10.03
LIC Mutual Fund,220,230.53,5139.08,9.93
Groww Mutual Fund,217,252.5,2744.27,7.76
Motilal Oswal Mutual Fund,214,29.7,274.21,8.37
PGIM India Mutual Fund,199,175.12,3117.47,0.0
JM Financial Mutual Fund,178,103.56,1397.28,10.02
Union Mutual Fund,151,276.13,2730.7,9.92
Bank of India Mutual Fund,140,331.96,3512.77,9.77
Canara Robeco Mutual Fund,130,362.31,4340.93,10.25
quant Mutual Fund,128,69.22,729.65,10.0
Mahindra Manulife Mutual Fund,122,305.82,1887.03,10.39
ITI Mutual Fund,110,376.52,1471.24,10.0
Bajaj Finserv Mutual Fund,108,400.89,1249.35,9.52
WhiteOak Capital Mutual Fund,86,269.85,1515.06,10.32
Navi Mutual Fund,74,22.61,45.47,8.96
Trust Mutual Fund,48,827.78,1369.99,10.33
The Wealth Company Mutual Fund,45,192.7,1056.97,9.95
Quantum Mutual Fund,42,54.67,267.17,10.0
Taurus Mutual Fund,39,179.32,2368.59,10.0
Shriram Mutual Fund,35,473.46,1269.27,8.18
Helios Mutual Fund,32,147.04,1178.37,10.23
Samco Mutual Fund,29,133.67,1254.13,8.82
PPFAS Mutual Fund,28,346.68,1565.24,9.72
Jio BlackRock Mutual Fund,25,300.19,1073.71,9.84
NJ Mutual Fund,25,156.77,1271.84,9.84
Zerodha Mutual Fund,24,70.1,1027.7,9.36
Abakkus Mutual Fund,19,63.28,104.12,10.06
Angel One Mutual Fund,16,77.52,1073.77,8.38
Capitalmind Mutual Fund,12,183.3,1049.5,10.08
Old Bridge Mutual Fund,12,12.04,14.27,10.45
IL&FS Mutual Fund (IDF),12,1770491.38,2510326.4,1211636.77
AlphaGrep Mutual Fund,12,341.0,1002.51,10.15
Choice Mutual Fund,10,70.34,157.7,10.48
Unifi Mutual Fund,6,364.66,1072.48,10.65
