category,num_schemes
Close Ended Schemes(Income),4377
Open Ended Schemes(Other Scheme - Index Funds),1150
Open Ended Schemes(Equity Scheme - Sectoral/ Thematic),929
Open Ended Schemes(Debt Scheme - Liquid Fund),404
Open Ended Schemes(Other Scheme - FoF Domestic),368
Open Ended Schemes(Debt Scheme - Overnight Fund),246
Close Ended Schemes(Growth),240
Open Ended Schemes(Debt Scheme - Ultra Short Duration Fund),233
Open Ended Schemes(Other Scheme - Other  ETFs),227
Open Ended Schemes(Debt Scheme - Low Duration Fund),216
Open Ended Schemes(Debt Scheme - Short Duration Fund),204
Open Ended Schemes(Debt Scheme - Money Market Fund),198
Open Ended Schemes(Fund of Funds Scheme (Domestic) - Fund of Funds Scheme (Domestic)),190
Open Ended Schemes(Equity Scheme - ELSS),176
Open Ended Schemes(Income),173
Open Ended Schemes(Debt Scheme - Corporate Bond Fund),169
Open Ended Schemes(Debt Scheme - Dynamic Bond),169
Open Ended Schemes(Hybrid Scheme - Arbitrage Fund),165
Open Ended Schemes(Hybrid Scheme - Aggressive Hybrid Fund),161
Open Ended Schemes(Equity Scheme - Flexi Cap Fund),158
Open Ended Schemes(Other Scheme - FoF Overseas),155
Open Ended Schemes(Debt Scheme - Medium Duration Fund),150
Open Ended Schemes(Hybrid Scheme - Equity Savings),149
Open Ended Schemes(Debt Scheme - Credit Risk Fund),147
Open Ended Schemes(Debt Scheme - Banking and PSU Fund),145
Open Ended Schemes(Equity Scheme - Large Cap Fund),136
Open Ended Schemes(Index Funds - Equity Funds),136
Open Ended Schemes(Debt Scheme - Gilt Fund),134
Open Ended Schemes(Equity Scheme - Large & Mid Cap Fund),133
Open Ended Schemes(Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage),126
Open Ended Schemes(Hybrid Scheme - Multi Asset Allocation),122
Open Ended Schemes(Hybrid Scheme - Conservative Hybrid Fund),122
Open Ended Schemes(Equity Scheme - Small Cap Fund),119
Open Ended Schemes(Equity Scheme - Mid Cap Fund),115
Open Ended Schemes(Debt Scheme - Medium to Long Duration Fund),112
Open Ended Schemes(Debt Scheme - Floater Fund),109
Open Ended Schemes(Solution Oriented Scheme - Retirement Fund),106
Open Ended Schemes(Equity Scheme - Multi Cap Fund),104
Open Ended Schemes(Equity Scheme - Focused Fund),94
Open Ended Schemes(Income/Debt Oriented Schemes - Liquid Fund),85
Open Ended Schemes(Equity Schemes - Thematic Fund),84
Open Ended Schemes(Equity Scheme - Value Fund),78
Close Ended Schemes(ELSS),77
Open Ended Schemes(Income/Debt Oriented Schemes - Short Term Fund),72
Open Ended Schemes(Exchange Traded Funds (ETFs) - Equity ETF),66
Open Ended Schemes(Income/Debt Oriented Schemes - Ultra Short Term Fund),63
Open Ended Schemes(Debt Scheme - Long Duration Fund),58
Open Ended Schemes(Income/Debt Oriented Schemes - Ultra Short to Short Term Fund),57
Open Ended Schemes(Income/Debt Oriented Schemes - Overnight Fund),56
Open Ended Schemes(Income/Debt Oriented Schemes - Corporate Bond Fund),47
Open Ended Schemes(Income/Debt Oriented Schemes - Money Market Fund),46
Open Ended Schemes(Index Funds - Debt Funds),44
Open Ended Schemes(Equity Scheme - Dividend Yield Fund),42
Interval Fund Schemes(Income),41
Open Ended Schemes(Income/Debt Oriented Schemes - Dynamic Term Fund),40
Open Ended Schemes(Solution Oriented Scheme - Childrenâs Fund),39
Open Ended Schemes(Overseas Fund of Funds - Fund of Funds investing overseas),34
Open Ended Schemes(Debt Scheme - Gilt Fund with 10 year constant duration),32
Open Ended Schemes(Hybrid Schemes - Arbitrage Fund),31
Open Ended Schemes(Hybrid Schemes - Aggressive Hybrid Fund),30
Open Ended Schemes(Income/Debt Oriented Schemes - Banking and PSU Debt Fund),30
Open Ended Schemes(Equity Schemes - Flexi Cap Fund),30
Open Ended Schemes(Equity Schemes - Large Cap Fund),28
Open Ended Schemes(Hybrid Schemes - Balanced Advantage Fund/ Dynamic Asset Allocation),28
Open Ended Schemes(Income/Debt Oriented Schemes - Credit Risk Fund),25
Open Ended Schemes(Equity Schemes - ELSS- Tax Saver Fund),24
Open Ended Schemes(Income/Debt Oriented Schemes - Medium Term Fund),24
Open Ended Schemes(Hybrid Schemes - Multi Asset Allocation Fund),24
Open Ended Schemes(Equity Schemes - Small Cap Fund),24
Open Ended Schemes(Exchange Traded Funds (ETFs) - Other ETF),23
Open Ended Schemes(Income/Debt Oriented Schemes - Gilt Fund),23
Open Ended Schemes(Hybrid Schemes - Equity Savings Fund),22
Open Ended Schemes(Equity Schemes - Value Fund),22
Open Ended Schemes(Equity Schemes - Multi Cap Fund),22
Open Ended Schemes(Other Scheme - Gold ETF),21
Open Ended Schemes(Equity Schemes - Sectoral Fund),20
Open Ended Schemes(Equity Schemes - Focused Fund),20
Open Ended Schemes(Equity Schemes - Mid Cap Fund),20
Open Ended Schemes(Equity Schemes - Large & Mid Cap Fund),18
Open Ended Schemes(Income/Debt Oriented Schemes - Long Term Fund),14
Open Ended Schemes(Hybrid Schemes - Conservative Hybrid Fund),14
Open Ended Schemes(Gilt),13
Open Ended Schemes(Equity Scheme - Contra Fund),12
Close Ended Schemes(Income/Debt Oriented Schemes - Fixed Term Plan),12
Open Ended Schemes(Income/Debt Oriented Schemes - 10-year Constant Maturity Gilt Fund),10
Open Ended Schemes(Income/Debt Oriented Schemes - Floating Interest Rates Fund),10
Open Ended Schemes(Hybrid Scheme - Balanced Hybrid Fund),10
Open Ended Schemes(Exchange Traded Funds (ETFs) - Debt ETF),9
Open Ended Schemes(Growth),5
Close Ended Schemes(Income/Debt Oriented Schemes - Other Debt Scheme),5
Open Ended Schemes(Equity Schemes - Dividend Yield Fund),4
Open Ended Schemes(Index Funds - Hybrid Fund),4
Open Ended Schemes(Equity Schemes - Contra Fund),4
Open Ended Schemes(Income/Debt Oriented Schemes - Medium to Long Term Fund),4
Open Ended Schemes(Exchange Traded Funds (ETFs) - Gold ETF),4
Open Ended Schemes(Money Market),3
Open Ended Schemes(Exchange Traded Funds (ETFs) - Silver ETF),3
Open Ended Schemes(Exchange Traded Funds (ETFs) - ETFs investing overseas),2
Open Ended Schemes(Life Cycle Funds - Life Cycle Fund with Maturity of 10 Years),1
