scheme_code,isin_growth,isin_div_reinvest,scheme_name,plan,option,nav,date,amc,category
135781,INF769K01DM9,-,Mirae Asset ELSS Tax Saver Fund,Direct Plan,Growth,58.174,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - ELSS- Tax Saver Fund)
135782,INF769K01DN7,-,Mirae Asset ELSS Tax Saver Fund,Direct Plan,IDCW,27.183,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - ELSS- Tax Saver Fund)
135784,INF769K01DK3,-,Mirae Asset ELSS Tax Saver Fund,Regular Plan,Growth,50.883,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - ELSS- Tax Saver Fund)
135783,INF769K01DL1,-,Mirae Asset ELSS Tax Saver Fund,Regular Plan,IDCW,22.838,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - ELSS- Tax Saver Fund)
151413,INF769K01JI4,INF769K01JK0,Mirae Asset Flexi Cap Fund,Direct Plan,IDCW,17.185,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Flexi Cap Fund)
151412,INF769K01JJ2,-,Mirae Asset Flexi Cap Fund,Direct Plan,Growth,17.236,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Flexi Cap Fund)
151414,INF769K01JG8,-,Mirae Asset Flexi Cap Fund,Regular Plan,Growth,16.373,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Flexi Cap Fund)
151415,INF769K01JF0,INF769K01JH6,Mirae Asset Flexi Cap Fund,Regular Plan,IDCW,16.379,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Flexi Cap Fund)
147206,INF769K01EU0,-,Mirae Asset Focused Fund,Direct Plan,Growth,28.193,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Focused Fund)
147205,INF769K01ET2,INF769K01EW6,Mirae Asset Focused Fund,Direct Plan,IDCW,25.931,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Focused Fund)
147203,INF769K01ES4,-,Mirae Asset Focused Fund,Regular Plan,Growth,25.581,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Focused Fund)
147204,INF769K01ER6,INF769K01EV8,Mirae Asset Focused Fund,Regular Plan,IDCW,23.517,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Focused Fund)
118834,INF769K01BI1,-,Mirae Asset Large & Midcap Fund,Direct Plan,Growth,180.792,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Large & Mid Cap Fund)
118835,INF769K01BJ9,INF769K01BK7,Mirae Asset Large & Midcap Fund,Direct Plan,IDCW,84.776,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Large & Mid Cap Fund)
112932,INF769K01101,-,Mirae Asset Large & Midcap Fund,Regular Plan,Growth,159.037,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Large & Mid Cap Fund)
112931,INF769K01127,INF769K01119,Mirae Asset Large & Midcap Fund,Regular Plan,IDCW,48.916,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Large & Mid Cap Fund)
118825,INF769K01AX2,-,Mirae Asset Large Cap Fund,Direct Plan,Growth,129.273,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Large Cap Fund)
118826,INF769K01AY0,INF769K01AZ7,Mirae Asset Large Cap Fund,Direct Plan,IDCW,67.48,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Large Cap Fund)
107578,INF769K01010,-,Mirae Asset Large Cap Fund,Regular Plan,Growth,113.483,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Large Cap Fund)
107579,INF769K01036,INF769K01028,Mirae Asset Large Cap Fund,Regular Plan,IDCW,29.067,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Large Cap Fund)
147445,INF769K01FA9,-,Mirae Asset Midcap Fund,Direct Plan,Growth,44.593,21-Aug-2026,Mirae Asset Mutual Fund,Open Ended Schemes(Equity Schemes - Mid Cap Fund)
